============================================================================
*****************************lnN!=NlnN+N验证********************************
============================================================================

取值范围1<N<10000
取点个数:1000
是否考虑右侧第三项(Y/N):n

N           lnN!              Approve           differ           1/RE_dif          1/N_re_dif
1030         6119.821180            6115.433504          4.387676           1394.774936            1.012586

1040         6189.247538            6184.855032          4.392507           1409.046820            1.012525

1050         6258.770006            6254.372715          4.397291           1423.324166            1.012464

1060         6328.387668            6323.985638          4.402029           1437.606912            1.012404

1070         6398.099626            6393.692902          4.406723           1451.894997            1.012346

1080         6467.905000            6463.493626          4.411374           1466.188361            1.012288

1090         6537.802924            6533.386943          4.415981           1480.486946            1.012230

1100         6607.792552            6603.372005          4.420547           1494.790695            1.012174

1110         6677.873048            6673.447977          4.425071           1509.099552            1.012118

1120         6748.043595            6743.614040          4.429555           1523.413462            1.012064

1130         6818.303389            6813.869390          4.433999           1537.732371            1.012009

1140         6888.651641            6884.213237          4.438403           1552.056227            1.011956

1150         6959.087574            6954.644805          4.442770           1566.384978            1.011903

1160         7029.610428            7025.163330          4.447098           1580.718573            1.011851

1170         7100.219452            7095.768063          4.451389           1595.056963            1.011800

1180         7170.913911            7166.458267          4.455644           1609.400098            1.011749

1190         7241.693080            7237.233217          4.459863           1623.747931            1.011699

1200         7312.556249            7308.092203          4.464046           1638.100414            1.011650

1210         7383.502718            7379.034523          4.468195           1652.457502            1.011601

1220         7454.531798            7450.059488          4.472310           1666.819150            1.011553

1230         7525.642812            7521.166421          4.476391           1681.185312            1.011505

1240         7596.835096            7592.354657          4.480439           1695.555945            1.011458

1250         7668.107992            7663.623538          4.484455           1709.931006            1.011412

1260         7739.460858            7734.972420          4.488438           1724.310454            1.011366

1270         7810.893058            7806.400668          4.492390           1738.694245            1.011321

1280         7882.403968            7877.907657          4.496311           1753.082341            1.011276

1290         7953.992973            7949.492772          4.500202           1767.474701            1.011231

1300         8025.659469            8021.155406          4.504062           1781.871285            1.011188

1310         8097.402859            8092.894965          4.507893           1796.272055            1.011144

1320         8169.222556            8164.710861          4.511695           1810.676973            1.011102

1330         8241.117983            8236.602514          4.515468           1825.086001            1.011059

1340         8313.088570            8308.569357          4.519213           1839.499103            1.011018

1350         8385.133757            8380.610826          4.522930           1853.916243            1.010976

1360         8457.252991            8452.726371          4.526620           1868.337384            1.010935

1370         8529.445728            8524.915446          4.530282           1882.762493            1.010895

1380         8601.711432            8597.177514          4.533918           1897.191534            1.010855

1390         8674.049574            8669.512046          4.537528           1911.624474            1.010816

1400         8746.459634            8741.918522          4.541112           1926.061280            1.010776

1410         8818.941097            8814.396427          4.544670           1940.501918            1.010738

1420         8891.493457            8886.945254          4.548203           1954.946356            1.010699

1430         8964.116216            8959.564504          4.551712           1969.394563            1.010662

1440         9036.808881            9032.253685          4.555196           1983.846507            1.010624

1450         9109.570967            9105.012311          4.558655           1998.302158            1.010587

1460         9182.401995            9177.839903          4.562091           2012.761484            1.010550

1470         9255.301493            9250.735989          4.565504           2027.224457            1.010514

1480         9328.268996            9323.700103          4.568894           2041.691046            1.010478

1490         9401.304045            9396.731784          4.572260           2056.161223            1.010442

1500         9474.406185            9469.830581          4.575604           2070.634959            1.010407

