请输入N的范围:1<N<5000
请输入数据取点个数:500
请输入要保存的有效数字:6
方程右侧是否引入最后一项修正项?(N/Y):y

=========================================================================

N                      N!                    Appro_Val                    Differ                  1/(Rela_Differ)

0                      1E0                       0E0                       1E0                       1E0


10                      362880E1                       352106E1                       107737E0                       33E0


20                      243290E13                       237840E13                       544970E11                       44E0


30                      265252E27                       256609E27                       864384E25                       30E0


40                      815915E42                       810639E42                       527617E40                       154E0


50                      304140E59                       296243E59                       789782E57                       38E0


1070                      456417E2773                       455304E2773                       111289E2771                       410E0


1080                      945041E2803                       940772E2803                       426845E2801                       221E0


1090                      214651E2834                       214034E2834                       616626E2831                       348E0


1100                      534370E2864                       533459E2864                       911079E2861                       586E0


1110                      145685E2895                       145102E2895                       582771E2892                       249E0


1120                      434607E2925                       434045E2925                       561343E2922                       774E0


1130                      141754E2956                       141424E2956                       330316E2953                       429E0


1140                      505120E2986                       504837E2986                       283099E2983                       1784E0


1150                      196486E3017                       196463E3017                       232530E3013                       8449E0


1160                      833716E3047                       833239E3047                       477805E3044                       1744E0


1170                      385592E3078                       384502E3078                       109003E3076                       353E0


1180                      194241E3109                       193989E3109                       251712E3106                       771E0


1190                      106498E3140                       105923E3140                       575570E3137                       185E0


1200                      635078E3170                       634151E3170                       927677E3167                       684E0

