请输入N的范围:1<N<700
请输入数据取点个数:700
请输入要保存的有效数字:6
方程右侧是否引入最后一项修正项?(N/Y):n

=========================================================================

N                      N!                    Appro_Val                    Differ                  1/(Rela_Differ)

0                      1E0                       1E0                       0E0                       0E0


1                      1E0                       0E0                       1E0                       1E0


2                      2E0                       0E0                       2E0                       1E0


3                      6E0                       1E0                       5E0                       1E0


4                      24E0                       4E0                       20E0                       1E0


5                      120E0                       21E0                       99E0                       1E0


115                      292509E183                       108739E182                       281635E183                       1E0


116                      339310E185                       125593E184                       326751E185                       1E0


117                      396993E187                       146315E186                       382362E187                       1E0


118                      468452E189                       171920E188                       451260E189                       1E0


119                      557458E191                       203725E190                       537086E191                       1E0


120                      668950E193                       243451E192                       644605E193                       1E0


121                      809429E195                       293357E194                       780094E195                       1E0


122                      987504E197                       356428E196                       951861E197                       1E0


123                      121463E200                       436623E198                       117096E200                       1E0


124                      150614E202                       539228E200                       145221E202                       1E0


125                      188267E204                       671338E202                       181554E204                       1E0


126                      237217E206                       842527E204                       228792E206                       1E0


127                      301266E208                       106579E207                       290608E208                       1E0


128                      385620E210                       135888E209                       372031E210                       1E0


129                      497450E212                       174616E211                       479988E212                       1E0


130                      646685E214                       226127E213                       624072E214                       1E0


131                      847158E216                       295095E215                       817648E216                       1E0


132                      111824E219                       388049E217                       107944E219                       1E0


133                      148727E221                       514164E219                       143585E221                       1E0


134                      199294E223                       686408E221                       192430E223                       1E0


135                      269047E225                       923216E223                       259815E225                       1E0


136                      365904E227                       125095E226                       353394E227                       1E0


137                      501288E229                       170755E228                       484213E229                       1E0


138                      691778E231                       234787E230                       668299E231                       1E0


139                      961572E233                       325180E232                       929054E233                       1E0


140                      134620E236                       453625E234                       130083E236                       1E0


141                      189814E238                       637342E236                       183440E238                       1E0


142                      269536E240                       901837E238                       260518E240                       1E0


143                      385437E242                       128511E241                       372585E242                       1E0


144                      555029E244                       184413E243                       536588E244                       1E0


145                      804792E246                       266477E245                       778144E246                       1E0


146                      117499E249                       387723E247                       113622E249                       1E0


147                      172724E251                       568014E249                       167044E251                       1E0


148                      255632E253                       837819E251                       247254E253                       1E0


149                      380892E255                       124415E254                       368450E255                       1E0


150                      571338E257                       186001E256                       552738E257                       1E0


151                      862720E259                       279931E258                       834727E259                       1E0


152                      131133E262                       424095E260                       126892E262                       1E0


153                      200634E264                       646745E262                       194166E264                       0E0


154                      308976E266                       992752E264                       299049E266                       0E0


155                      478914E268                       153379E267                       463576E268                       1E0


156                      747106E270                       238505E269                       723255E270                       1E0


157                      117295E273                       373260E271                       113563E273                       1E0


158                      185327E275                       587883E273                       179448E275                       1E0


159                      294670E277                       931794E275                       285352E277                       1E0


